iter	Passed	Remaining
874	592662	84666
875	593468	84006
876	594213	83338
877	594964	82671
878	595706	82002
879	596444	81333
880	597277	80676
881	598034	80009
882	598705	79330
883	599296	78640
884	599989	77964
885	600738	77295
886	601566	76636
887	602388	75976
888	603174	75311
889	603865	74635
890	604589	73962
891	605340	73292
892	606118	72625
893	606713	71936
894	607352	71253
895	608013	70572
896	608788	69905
897	609362	69214
898	610061	68538
899	610802	67866
900	611515	67192
901	612180	66511
902	612808	65827
903	613583	65159
904	614374	64492
905	615004	63808
906	615708	63132
907	616432	62457
908	617291	61797
909	618037	61124
910	618650	60438
911	619245	59751
912	619947	59074
913	620670	58400
914	621297	57716
915	622062	57045
916	622812	56372
917	623536	55697
918	624238	55019
919	625013	54349
920	625560	53658
921	626257	52980
922	626970	52304
923	627612	51621
924	628429	50953
925	629140	50276
926	629927	49605
927	630685	48932
928	631460	48260
929	632257	47589
930	633006	46914
931	633723	46237
932	634386	45556
933	635070	44876
934	635725	44194
935	636520	43522
936	637182	42841
937	637935	42166
938	638487	41477
939	639107	40794
940	639764	40112
941	640532	39438
942	641223	38759
943	641905	38079
944	642516	37395
945	643296	36720
946	644019	36043
947	644714	35364
948	645415	34685
949	646104	34005
950	646903	33331
951	647645	32654
952	648347	31975
953	648982	31292
954	649641	30611
955	650557	29941
956	651361	29267
957	652067	28587
958	652787	27908
959	653631	27234
960	654403	26557
961	655105	25877
962	655904	25200
963	656641	24521
964	657279	23839
965	658002	23159
966	658633	22476
967	659222	21792
968	659979	21113
969	660590	20430
970	661360	19752
971	662025	19070
972	662764	18391
973	663489	17711
974	664197	17030
975	664983	16352
976	665762	15673
977	666510	14993
978	667256	14312
979	667903	13630
980	668669	12950
981	669454	12271
982	670146	11589
983	670877	10908
984	671537	10226
985	672268	9545
986	672969	8863
987	673664	8182
988	674376	7500
989	674820	6816
990	675486	6134
991	675981	5451
992	676658	4770
993	677178	4087
994	677789	3405
995	678561	2725
996	679255	2043
997	679940	1362
998	680677	681
999	681235	0
